lemma,pos,sense_source,sense_target,semantic_relationship
управител,noun,"главен ръководител на обществена служба, търговско или промишлено предприятие и др.","лице, което пряко ръководи учреждение, предприятие, ресторант, имение и др.",exact
управител,noun,"длъжност на ръководител на обществена служба, търговско или промишлено предприятие и др.","лице, което пряко ръководи учреждение, предприятие, ресторант, имение и др.",related
управител,noun,"лице, което има служба да надзирава, да наглежда, да наблюдава, или да управлява някого или нещо.","лице, което пряко ръководи учреждение, предприятие, ресторант, имение и др.",broader
ядене,noun,"това, което живите същества и растенията поемат в себе си, за да поддържат живота и развитието си.",храна.,exact
ядене,noun,готвено ядене.,храна.,narrower
ядене,noun,"вид храна, обикновено сготвена, която се сервира и консумира за обяд, вечеря или през друго време на деня.",храна.,narrower
агент,noun,"лице, което действа от името на някого или нещо, като представлява организация, учреждение и под.","човек, който действа по чужда поръчка, извършва работа на другиго.",exact
амбиция,noun,"силен стремеж, желание, мобилизиране на цялата енергия и сили към постигане на нещо, към успех в нещо.","силно желание за постигане на определена цел, мотивация за успех, целеустременост.",exact
буква,noun,отделен знак от азбуката.,знак от азбуката.,exact
вещество,noun,"това, от което се състоят нещата в света.","вещество е това,което изгражда всяко нещо около нас.",related
вещество,noun,"това, от което предметите, нещата се състоят.","вещество е това,което изгражда всяко нещо около нас.",exact
въжделение,noun,"силно, страстно влечение, стремеж към нещо, нужда от нещо.","желание, искане, стремеж, копнеж, блян, мечта, стремление, цел, очакване, намерение, порив.",exact
въжделение,noun,силно желание за постигане на нещо.,"желание, искане, стремеж, копнеж, блян, мечта, стремление, цел, очакване, намерение, порив.",broader
гозба,noun,готвено ядене.,"ястие, манджа.",exact
гозба,noun,"вид храна, обикновено сготвена, която се сервира и консумира за обяд, вечеря или през друго време на деня.","ястие, манджа.",related
дискусия,noun,"обсъждане на спорен научен, обществен или друг въпрос, проблем.",средство за изясняване на спорни въпроси и за постигане на съгласие между хора с различни позиции.,exact
дискусия,noun,"дискусия за нещо, словесна борба за доказване на различни, противоположни мнения, възгледи.",средство за изясняване на спорни въпроси и за постигане на съгласие между хора с различни позиции.,broader
диспут,noun,"обсъждане на спорен научен, обществен или друг въпрос, проблем.",публичен спор по обществен или научен въпрос.,broader
диспут,noun,"дискусия за нещо, словесна борба за доказване на различни, противоположни мнения, възгледи.",публичен спор по обществен или научен въпрос.,broader
загъвам,verb,"завивам някого или някакъв предмет от всички страни в нещо, с което го покривам изцяло.",завивам; покривам с нещо.,narrower
загъвам,verb,"правя на пакет, като завивам, увивам нещо от всички страни в хартия, картон и под.",завивам; покривам с нещо.,narrower
зала,noun,"отделна, самостоятелна сграда за спортни игри, концерти и под.","стая, помещение (обикн. голямо, за предварително определен тип официални и публични прояви).",related
зала,noun,"голямо помещение в сграда, предназначено за събрания, концерти, спортни игри и др.","стая, помещение (обикн. голямо, за предварително определен тип официални и публични прояви).",exact
замръзвам,verb,"изстивам силно, става ми много студено от силен студ, мраз.",много ми е студено.,exact
колело,noun,"екологично превозно средство с две колела, което се задвижва от мускулната сила на човека с помощта на педали.","превозно средство с две или три колела, задвижвано с крака, посредством педали.",exact
колело,noun,"приспособление, устройство с кръгла форма, което се върти свободно около минаваща през центъра му ос, изградено от плътен материал като диск или от кръгла рамка със спици и се използва за улесняване движението на превозни средства, в машини, мехинизми, уреди  и др.","кръгъл предмет, който се върти и обикновено се използва за движение или задвижване.",exact
обстоятелство,noun,"нещо (факт, явление, събитие, свойство и др.), което в даден момент следва да се вземе предвид при извършването, осъществяването на някакво действие, явление.","явление, което съпътства някакъв факт.",related
обстоятелство,noun,"нещо (факт, явление, събитие, свойство и др.), което в даден момент следва да се вземе предвид при извършването, осъществяването на някакво действие, явление.","условия, определящи съществуването на нещо.",exact
опасност,noun,възможна опасност.,възможност да се случи нещо лошо.,broader
опасност,noun,"възможност или вероятност да се случи нещо лошо, някаква беда, нещастие.",възможност да се случи нещо лошо.,exact
поща,noun,"учреждение, служба за изпращане на посочен адрес на писма, вестници, пари, леки товари и др.","учреждение за пращане на определен адрес на писма, пари, вестници, багаж и др.",exact
поща,noun,"учреждение, служба за изпращане на посочен адрес на писма, вестници, пари, леки товари и др.",сграда на такова учреждение.,related
поща,noun,изпратените или получените писма или колетни пратки.,"учреждение за пращане на определен адрес на писма, пари, вестници, багаж и др.",related
поща,noun,изпратените или получените писма или колетни пратки.,сграда на такова учреждение.,related
растеж,noun,"индивидуално развитие на организъм през целия му жизнен цикъл, при което до половата зрялост на организма се оформят изцяло видовите му особености, а индивидуалните се развиват до неговата смърт.","нарастване на организма или на отделни органи в процеса на развитие, съзряване с увеличаване на годините; растене.",exact
растеж,noun,"растене, увеличаване, промяна на нещо в посока нагоре.","нарастване на организма или на отделни органи в процеса на развитие, съзряване с увеличаване на годините; растене.",broader
растеж,noun,"растене, увеличаване, промяна на нещо в посока нагоре.","процес на израстване на нещо (косми, рога и др.); никнене, поникване, растене.",broader
растеж,noun,"растене, увеличаване, промяна на нещо в посока нагоре.","увеличаване по територия, численост на нещо (страна, град и др.); растене, нарастване, разрастване.",broader
растеж,noun,"растене, увеличаване, промяна на нещо в посока нагоре.","увеличаване на нещо (доходи, цени и др.) по определени количествени показатели; растене, нарастване.",broader
растеж,noun,"растене, увеличаване, промяна на нещо в посока нагоре.","развитие, израстване на някого в професионален или духовен план; усъвършенстване.",broader
растеж,noun,"растене, увеличаване, промяна на нещо в посока нагоре.","развитие, напредък в някаква област.",broader
рисувам,verb,"изписвам, създавам с бои и т.н. образ, картина и др.",изпълнявам някакво художествено творчество.,narrower
рисувам,verb,"изписвам, създавам с молив, перо, креда и т.н. образ, картина и др.",изпълнявам някакво художествено творчество.,narrower
ритуал,noun,"действие или поредица от действия със символно значение и с определен, установен от традицията ред и начин за извършване, обикн. с религиозен или тържествен характер.","определена последователност при извършване на обредни действия, както и самите действия; церемония, обред.",exact
ритуал,noun,"формално, тържествено и строго установено действие или съвкупност от действия за отбелязване на важно лично, семейно или обществено събитие.","определена последователност при извършване на обредни действия, както и самите действия; церемония, обред.",related
самолет,noun,летателен апарат.,"по- тежко от въздуха въздухоплавателно средство с неподвижни крила и двигател. като използва принципите на аеродинамиката, създава подемна сила за поддръжка във въздуха и за придвижването си с висока скорост.",broader
самолет,noun,"летателен апарат с неподвижни крила, обикновено по-тежък от въздуха, задвижван от перка или реактивен двигател","по- тежко от въздуха въздухоплавателно средство с неподвижни крила и двигател. като използва принципите на аеродинамиката, създава подемна сила за поддръжка във въздуха и за придвижването си с висока скорост.",exact
страж,noun,"лице, което пази, защитава някого или нещо.","пазител, защитник.",exact
страж,noun,"човек, който пази някого или нещо.","пазител, защитник.",narrower
характеристика,noun,"съвкупност от отличителни белези, черти, качества на нещо.",описание на характера. изтъкване на отличителните черти на някого или нещо.,related
характеристика,noun,"съвкупност от отличителни белези, черти, качества на нещо.","писмен документ, отзив за служебните, производствените и пр. качества, достойнства на някого.",related
характеристика,noun,"отличителни белези, особености на нещо.",описание на характера. изтъкване на отличителните черти на някого или нещо.,related
характеристика,noun,"отличителни белези, особености на нещо.","писмен документ, отзив за служебните, производствените и пр. качества, достойнства на някого.",related
авантюра,noun,"необикновена,вълнуваща и запомняща се случка в живота на човека, която понякога крие рискове.",приключение.,exact
агне,noun,малкото на овца.,невръстна овца.,exact
адвокат,noun,"лице с юридическо образование, с права да представя официално, да защитава страна в съдебен процес и да дава съвети по юридически въпроси.","юрист, поемащ защитата на подсъдимия.",exact
актьор,noun,"лице, обикновено със специална школовка, което изпълнява пред публика роля в театрално представление, в опера, филм или участва в концертна или циркова програма.","артист, изпълнител в театрално произведение.",exact
ампутирам,verb,"отстранявам хирургически цялостно или частично болна част от тяло, обикновено крайник.",отстранявам крайник.,exact
атом,noun,"най-малката градивна частица на химически елемент, носител на неговите свойства, която представлява сложна система от положително заредено ядро и движещи се около него отрицателно заредени електрони, образуващи електронна обвивка.",атомът е основната градивна частица на веществото.,exact
бакър,noun,"химически елемент, мек и ковък червеникавокафяв метал с висока електропроводимост, разпространен в земната кора под формата на сулфиди, окиси, карбонати и др., рядко в чисто състояние, който се използва в техниката и електротехниката, както и за добиване на различни сплави.",металът мед.,exact
бакър,noun,"химически елемент, мек и ковък червеникавокафяв метал с висока електропроводимост, разпространен в земната кора под формата на сулфиди, окиси, карбонати и др., рядко в чисто състояние, който се използва в техниката и електротехниката, както и за добиване на различни сплави.",голям метален съд за носене на вода с подвижна дръжка.,related
банкрут,noun,"изпадане в несъстоятелност, невъзможност на физическо или юридическо лице да плаща задълженията си към своите кредитори.",невъзможност да се изпълняват финансови задължения.,exact
биография,noun,описание на живота и дейността на дадена личност.,описание на живота и дейността на някое лице; животопис. // живот и дейност на някое лице.,exact
брава,noun,"подвижно метално приспособление за заключване на врати, шкафове, велосипеди и др. с цел да се ограничи достъпът до тях, да се предпазят от кражба или повреда.",ключалка на врата.,exact
бродя,verb,"движа се, ходя без определена посока и цел.",ходя без посока в тъмното.,broader
бюро,noun,писмена маса с чекмеджета и с отделения за книжа.,място за писмена работа.,related
бюро,noun,писмена маса с чекмеджета и с отделения за книжа.,специална маса за писане.,exact
велосипед,noun,"екологично превозно средство с две колела, което се задвижва от мускулната сила на човека с помощта на педали.",превозно средсво с две колела задвижвано с педали.,exact
вино,noun,"популярно алкохолно питие, получено от ферментирал гроздов сок.","алкохолна напитка, която се получава след ферментация на гроздов сок.",exact
вкаменелост,noun,"останки или следи от растителни или животински организми, които са съществували в минали геологични епохи, запазени в земната кора.",запазени в скални образувания останки от растения или животни.,exact
воденица,noun,"машина или уред, предназначена за стриване на твърди вещества, материали на прах.","мелница, задвижвана от вода.",broader
вуйчо,noun,брат на майката спрямо нейните деца.,брат на майка. наименованието вуйчо отразява родствена връзка с едно лице - това е брата на майката на лицето.,exact
въстание,noun,"проява на масово неподчинение, въоръжена борба срещу установена власт или ред.",организирана открита и въоръжена акция на дадена групировка срещу властта на правителството.,exact
