lemma,pos,sense_source,sense_target,semantic_relationship
flag,noun,"et med særlige kendingstegn (farver ell. figurer) udstyret stykke tøj, der er beregnet til at fæstes til (især hejses op i) en stang (mast olgn.), og som har en særlig betydning, især som nation alitetsmærke (tidligere spek. til søs ). Es.33.23. * Danmarks Flag, | I Fred og Slag | Skal danske Sømænd helligt være. Thår.(Rahb. LB.II.550). * (landsbyen var pyntet) net | Med Krandse, Bånd og Flage. Wint.VI. 23. næsten alle Nationers Flage vaie . . i Havnen. ArkivSøvæsen.I.137. * Vaj højt, vaj stolt og frit, vort Flag. Ploug.II.29. Tribunen (løftede) sig i Vejret . . overængt med rødt Klæde og med et Hegn af Bannere og Flag om sig. Det var 5te Juni. Stukk.I.132. Efter at det ifølge kgl. Resol. af 21. Dekbr. 1833 havde været forbudt Private at lade Flag vaje fra deres Ejendomme, blev det ved kgl. Resol. af 7. Juli 1854 tilladt alle og enhver at hejse Dannebrog uden Split. Sal. 2 VIII.204 (jf. Splitflag ). som symbol på krigsmagten (jf. I. Fane 1 ): (din fader) gjorde osse Krigen med. Han fulgte Flaget i sin Tid. Gravl. J.92. (billedl.:) * Solenglen svinger Lysets Flag, | Vandrer til fjerne Lande. Ing.RSE. VII.242. om flag af særlig farve. det gule flag, karantæneflag (jf. I. Fane sp.735 17 ). Hag.VI.200. det hvide flag,   tegn på fredeligt sindelag (ønske om våbenstilstand, overgivelse); parlamentærflag (jf. I. Fane sp.735 6 ). JFriis.33. * Så hejser Nelson på sin Top | Det hvide Flag til Stilstand op. Pram.(Rahb.LB.I.271). (en) Parlamentær ledsages af en Mand, som bærer hvidt Flag. Hag.VIII.24. rødt flag (det røde flag ). 1. (foræld.) d. s. s. Blodflag 1 (jf. I. Fane sp.735 11 ). * Han heysede det røde Flag, | Og slog på Fienden Slag i Slag. Ew.(1914).III.187. FrHamm.TB.39. 2. (poet. ell. højtid.) om dannebrog. Holst.D. II.170. Skand.UD.83. flag i sjov, se Sjov . flag på halv stang, se Stang .   symbolsk i udtr., der betegner en nations (handels)skibe olgn. fornævnte Republiqve haver tilstået alle Danske Skibe den selv samme Friehed . . som andre Kongel. Undersåtters Flagge er tilståed. Holb. Ståt.536. (traktaten) indgød den unge hawaiiske Regering Tillid til det danske Flag. StBille.Gal.III.129. de Bud, der blev modtaget på 4 Skibe til Overdragelse til fremmed Flag. Pol. 21 / 2 1920.11.sp.3. under dansk flag olgn., (især ) m. dansk flag på toppen; givende sig ud for at være dansk. Slange.ChrIV.505. Skeller.MarO. sejle under falsk flag olgn., føre en anden nations flag end den, man tilhører; give sig ud for at høre til en fremmed nations flåde. MO. Skeller. MarO. især overf.: give sig ud for noget andet, end man (ell. noget) virkelig er; skjule sit sande væsen, sin virkelige hensigt. * under dette falske Flag, | De største Skielmer fare. Tode.S.120. Hejb.Pros.VI.426. Leop. SE.40. sejle under fremmed flag, føre en fremmed nations flag; (midlertidigt) høre til en fremmed nations flåde. Skeller. MarO. især overf. (jf. sejle under falsk flag ): * Så vil jeg da mit gode Navn fornægte | Og løbe under fremmed Flag i Havn. Hrz.I.78. smst.XII.28. beslå et flag, se beslå 2. føre et flag, se føre . hejse ( hisse. vAf.(1759)) et flag, hale et flag op i (toppen af) flagstang, mast osv. Bødt.116. AKohl.MP.I.231. se ogs. ovf. u. det hvide, det røde flag. kippe (med) flaget, se kippe . stryge flaget (  stryge flaget ned. Falsen.I.523), hale flaget ned: 1.   som tegn på overgivelse. den svenske Capitain . . lod råbe over: at de skulde kun stryge Flaget og give sig. Mall.SgH.326. Hauk.MfB.148. Drakm.PT.118. Skeller. MarO. overf.: give tabt; opgive ævred. Bogan.II.190. Han holdt så tappert Stand (i drikkelaget), at de tre af dem allerede før Måltidet var halvt forbi måtte stryge Flaget. KMads.HM.124. jf.: * Jeg først så godt som sidst laer falde Flag; | Thi når man tabe skal, at tabe uden Slag | Er efter mine Tanker bedst. Wess.236. 2. (l. br.) som hilsen. * Kronborg . . knejser. | Ærbødigt stryger fremmed Skib sit Flag, | Når det forbi på salten Vove rejser. Oehl.XVIII. 182. Hejb.Poet.VIII.225. jf. Holb.Anh.290. tone flag,   tilkendegive sin nationalitet ved at hejse flaget; spek.: hejse det en kort tid som hilsen. SøkrigsA.(1752).§868. om Eftermiddagen tonede (vi) Flag for en dansk Orlogsbrig, som stod øster over. StBille.Gal.I.68. Bergs.BR.183. overf.: give sit sindelag, sine anskuelser til kende; ikke lægge skjul på sin mening. S&B. Sandheden forstår Mennesker på forskellig Måde . . man har ikke andet at gøre end at tone Flag og styre hver sin Kurs. Vort Hj.I3.44. vise flaget,   d. s. s. tone flag (ogs. overf.). Skeller.MarO. (u. vise ). D&H. vise flaget i (en) fremmed havn,   om (krigs)skibe, der ved at vise sig i andre landes havne repræsenterer nationen; ofte overf.: Jørg.Danimarka.(1921).119. Hvor der var Lejlighed dertil, viste Berg og Hørup nu Flaget i fremmede Havne (dvs.: foretog agitationsrejser i højresindede egne). EHenriks.VH.54.","-rektangulært el. kvadratisk stykke stof som med sine farver og mønstre symboliserer noget bestemt, fx en nationalitet",exact
fisk,noun,1) navn på dyr.,1-langstrakt hvirveldyr der lever i vand og ånder vha. gæller,broader
fisk,noun,"1. 1 ) klasse af hvirveldyrsrækken, som lever i vandet, har koldt blod og ånder ved gæller (Piskis). Mennesket ved . . ikke sin Tid, så lidt som Fiskene, der fanges i det slemme Garn. Præd.9.12. “Hvad slags Fisk falder mest ved disse Kuster?” – “Cabeljou og Flynder.” Holb.Mel.IV.7. enkelte Fiske slog med Finnerne i Vandets Overflade. Bagger.I.169. andre Fisk søgte mod Havbunden. HCAnd. VIII.228. (menneskeskikkelser) gled forbi hende (dvs.: i tågen) som døde Fisk i grumset Vand. Skand.AE.147. (koll.:) Fiskeriet ved Skåne blev betydningsløst, idet Fisken omkring Midten af det 16. Aarundrede forsvandt fra disse Farvande. Tilsk. 1921.II.225. (bibl., om mennesker:) * Du Fanger af Fiske med Sjæle! Grundtv.SS. I.277 (efter Matt.4.19). om (herald.) afbildning: * Trende Fisk i Skioldet han bar, i sølvblå Vand. Oehl.HK.45. elektrisk fisk, se u. elektrisk 1. 1. flad fisk, se flad .",1-langstrakt hvirveldyr der lever i vand og ånder vha. gæller,exact
fisk,noun,"1. 2 ) (dial.) spek. om visse fiskearter. Sulet er Flesk, Finkker, sjelden Sild eller Fisk. Begtr.Fyen.290. (bornh.) om torsk. PN Skovgård.B.68. Aarb.1885.291. Bornh.Samlinger.VIII.(1913).167. (samsøsk) om fladfisk (mods. Torsk ). Fejlb.I.296.IV.142.",1-langstrakt hvirveldyr der lever i vand og ånder vha. gæller,narrower
fisk,noun,"1. 4 ) (især koll.) om fisk (1. 1 ) ell. (l. br.) andre havdyr (fks. krebs, hummer) som handelsvare (beregnet på køkkenet) ell. som spiseret. I måe vel se til her Vert! at I skaffer os god fisk! ti Paltz-Greven er ikke meget for Kiødmad. Holb.Pants.I.4. da Fisken er her meget dyr, og denne Vært er af de massive Traktørs, så finder hand sin Regning bedre ved Kiødet end ved Fisken. Klevenf. RJ.100. jeg skulde . . fange en Ræt Fiske (nu kun: Fisk ) til hans Giæster. Robinson. I.33. Under mit Ofold i Altona var min Opmærksomhed dels rettet på Undersøgelsen af Elbens Fiske, dels på at gjøre mig bekendt med, hvorledes Altona og Hamburg forsynes med Fisk. Krøyer.(Da. Almenlæsning.(1836).69). * Tordenskjold han var polisk, | Gik omkring og solgte Fisk. GRode.FU.77. Gadehandlere råbte med Fisk og Grøntsager. KLars.GHF.I.63.",3-dette dyr brugt som madvare,exact
fisk,noun,"3. 2 ) (astr.) i navne på stjernebilleder, især: fiskene (sj. i ent. fisken. CKMolb.Dante.I.67), det tolvte af dyrekredsens tegn (Piskes). Mot.F190. VSO. Den store Konjunktion af tre Planeter i Stjernetegnet Fiskene 1524 var i Tide forudsagt. TroelsL.XIII.166. En, der er født under Fiskenes Tegn, i den første Part, ham bør det at dyrke Jorden. JPJak. I.141. ogs. (i ent.) om et stjernebillede på den sydlige himmel (Piskis austrinus). Sal. 2 VIII.142.",2-person født i stjernetegnet Fiskene,related
objektiv,adjective,"2) (især ) om erkendelse, vurdering, bedømmelse, skildring osv.: som (så vidt muligt) kun tager hensyn til tingene, sagen, og ser bort fra (abstraherer fra) de momenter i erkendelsen, der er afhængige af det erkendende, individuelle subjekt, undgår indblanding af subjektive, personlige synspunkter ell. sympatier; upartisk; saglig; spek. (æstet.) om digterisk fremstilling: som søger at give en sandfærdig, tydelig fremstilling af et emne uden (direkte) udtryk for digterens personlige følelser og meninger. dog tvivler jeg på, at man kan påvise Nogen, der har givet en virkelig objektiv Skildring af Begivenheden (dvs.: det stokkholmske blodbad), ublandet med egne Følelser og Tanker. CPalM.O.357. en Bestræbelse for at være så objektiv (Brandes.I. 402: saglig ) som muligt i Kunsten. Brandes. DD.60. (Oehlenskläger) havde før selv været sin egen Digtnings Midtpunkt, han søgte nu Skønheden i det udefra givne, fra den subjektive Digtning vilde han over til den objektive. VilhAnd.Litt.III.55. objektiv Vurdering. Rubow.LK.34. som adv.: at samle de adspredte Billedtræk af sit eget åndelige Væsen til et helt anskueligt Sjælebillede . . syntes ham (dvs.: forfatteren) kun muligt, når han, som en Afdød, stod udenfor sit helt afsluttede Jordliv og kunde beskue det rent objektivt, som en Andens, uden alle subjektive Selvskuffelser. Ing. Levnet.I.8. (med.) om undersøgelse, som udføres, symptom, som konstateres af lægen uafhængigt af den syges egne fornemmelser eller udsagn. Han er meget optaget af sine Tilfælde. – Intet objektivt abnormt. Arb. forsikr.1907.BilagI.183. Patienten var meget forpint, men Temperaturen normal, Pulsen 88, og objektiv Undersøgelse viste i enhver Hensende naturlige Forold, fraset Underlivet. Ugeskr.f.Læger.1928.151. sp.2.","2-som udelukkende bygger på el. tager hensyn til fakta og således ikke er påvirket, præget el. på anden måde under indflydelse af bestemte (personlige) interesser, opfattelser e.l.",exact
objektiv,adjective,"3) (jf. Objekt 1 . 4; gram.) som står som objekt, har en til objektets svarende funktion olgn.; især i forb. objektiv genetiv, genetiv, der styres af et substantiv og betegner genstanden for den ved dette udtrykte handling, følelse osv. (fks. “bogens forfatter”, “byttets deling”). Madv.LatSprogl. 3 268.",1-vedr. objekt som grammatisk kategori; som står som objekt,exact
pels,noun,"1) håret dyreskind anvendt til beklædning; klædningsstykke lavet af ell. foret med pelsværk, især: (lang) overklædning (for mænd ell. kvinder); pelskappe, -kåbe. Når de drage ud på Hvalfangst, have de en Pels af Sælskind. LTid. 1729.215. en bruun Klædes Pelts. Adr. 8 / 1 1762.sp.16. * Svage måtte til forede Peltse | tage Tilflugt, og troede at føle | Nordpolens Frost. Haste.BD.117. Det var hundekoldt, og iført Pelsen og en dertil svarende lodden Hue vandrede jeg ned ad Byens Hovedgade. Wied.LH.72. Amagerdragter.86ff. jf.: Kamtskadalerne har i ældre Tid anvendt Fugleskind . . til Pelse. Hatt.ArktiskeSkinddragter.(1914).13. samt: en kort Silkepels fløj opløst efter hende som et Sejl. Gylb.XI.28.","2-dyreskind dækket af en masse af tykt og blødt hår, bearbejdet og brugt som (kostbar) beklædningsgenstand, typisk en frakke el. andet overtøj",exact
pels,noun,"2) dyrs hårklædning ell. skind, især hos dyr med tykt, blødt hårlag; dels om skind ell. hårdragt på levende dyr; dels (især ) om afflået skind; bælg. Øvede Uldklippere afklippe Pelsen (dvs.: fårets) således, at den forbliver hel. Olufs.Landoekon.444. * Af Bjørnens Pels var Huens Foer, | Af Ulvens hans Tornister. Wint. IV.59. * Den Ene er en Islænding | frejdig og frels, | den Anden er en Bamse | udi sin tykke Pels. Ploug.I.342. Hos de gamle (dvs.: gorillaer) bliver Pelsen ofte gråsprængt. BMøll.DyL.I.7. * Pelserne damper på Bede og Buk | af Morgendugg. Aakj.RS.82. jf. Pelsside : Pelstæppe, til Automobil . . langhåret, Pels på begge Sider. PolitiE.Kosterbl. 1 / 5 1925.1.sp.2. (sølvræve) begynder at sætte Pels i September-Oktober. Pol. 1 / 4 1934.Sønd.19.sp.4.","1-udbredt, tyk masse af tætsiddende hår på kroppen af et dyr",exact
