lemma,pos,semantic_relationship,sense_source,sense_target
Eis,noun,broader,Wasser im festen Aggregatzustand; gefrorenes Wasser,"Kompakte Substanz, die durch das Einfrieren von Wasser in den festen Zustand entsteht sie tritt im Allgemeinen in Form von hexagonalen Kristallen auf."
Eis,noun,narrower,"Speiseeis, eine gefrorene Süßspeise","Ein kaltes Dessert (bestehend aus Wasser, Sahne und Milch, sowie Aromastoffen, Emulgatoren und Zucker), das bei heißem Wetter beliebt ist."
Zug,noun,broader,mehrere hintereinander gekoppelte Fahrzeuge (speziell auf Schienen),"Eine Gruppe aneinandergekoppelter Eisenbahnwagen, die meist von einer Lokomotive gezogen oder geschoben werden."
Zug,noun,exact,"Eigenart, Eigenschaft (Charakterzug)",Charakteristische Eigenschaft eines Wesens oder einer Sache.
Alkohol,noun,narrower,gängige Bezeichnung für Ethanol,"Eine Gruppe von organisch chemischen Verbindungen, die aus Kohlenstoff, Wasserstoff und Sauerstoff gebildet sind. Die Moleküle in den Reihen variieren in der Kettenlänge und sind aus einer Kohlenwasserstoff. und einer Hydroxylgruppe gebildet. Der Begriff schließt Methanol und Ethanol mit ein."
Alkohol,noun,narrower,"a speziell und kurz für Getränk, welches Ethanol enthält; Trinkalkohol","Farblose, leichtentzündliche Flüssigkeit, die unter anderem als Lösungsmittel, Desinfektionsmittel und Rauschmittel verwendet wird."
Alkohol,noun,broader,Bezeichnung für eine Kohlenstoffverbindung mit mindestens einer Hydroxylgruppe als funktionelle Gruppe,"Eine Gruppe von organisch chemischen Verbindungen, die aus Kohlenstoff, Wasserstoff und Sauerstoff gebildet sind. Die Moleküle in den Reihen variieren in der Kettenlänge und sind aus einer Kohlenwasserstoff. und einer Hydroxylgruppe gebildet. Der Begriff schließt Methanol und Ethanol mit ein."
Land,noun,broader,unabhängiges politisches Gebilde,"Eine unabhängige politische Entität, die die absolute Gewalt über ein geographisches Gebiet ausübt."
Land,noun,narrower,Gliedstaat|Glied- oder Teilstaat (in bestimmten Staaten),"Eine unabhängige politische Entität, die die absolute Gewalt über ein geographisches Gebiet ausübt."
Land,noun,exact,"rurale, eher landwirtschaftlich genutzte Gegend – im Gegensatz zur Stadt","Ein ländliches Gebiet, die Landschaft - im Gegenteil zu einer Stadt oder einer Ortschaft"
Vertrieb,noun,broader,Teilbereich des Handels; das Geschäft eines Unternehmens mit seinen Abnehmern,"Die Summe der Handels- und Serviceaktivitäten, welche die hergestellten Produkte zum Endverbraucher übertragen."
Vertrieb,noun,exact,"Abteilung eines Betriebes, einer Firma, die den Vertrieb 1 abwickelt","Die Abteilung einer Firma, die damit befasst ist, die Produkte an den Kunden zu verkaufen."
Wirkung,noun,exact,Resultat einer Ursache,Konsequenz oder Resultat einer Tat.
Nebel,noun,broader,"Gemisch fein verteilter Flüssigkeitströpfchen, meistens Wassertröpfchen, und/oder Eiskristalle in Gasen, meist in der Luft","Wassertröpfchen oder, seltener, Eiskristalle, die in ausreichender Konzentration in der Luft vorkommen, um die Sichtweite zusehends zu verringern."
Nebel,noun,related,ein flächenhaft leuchtendes Objekt am Himmel,Ein Haufen von Sternen oder Wolke von Staubpartikeln und Gasen.
Nebel,noun,narrower,durch die Weltorganisation für Meteorologie (WMO) standardisierte Wettererscheinung mit Sichtminderung unter 1000 m,"Wassertröpfchen oder, seltener, Eiskristalle, die in ausreichender Konzentration in der Luft vorkommen, um die Sichtweite zusehends zu verringern."
Familie,noun,narrower,Eltern und Kindern (Kernfamilie),"Eine Gruppe bestehend aus Eltern, Nachkommen und anderen nah mit ihnen verwandten oder verbundenen Personen."
Familie,noun,narrower,"Großeltern, deren Kindern und Enkeln","Eine Gruppe bestehend aus Eltern, Nachkommen und anderen nah mit ihnen verwandten oder verbundenen Personen."
Familie,noun,narrower,Partnern mit Nachwuchs,"Eine Gruppe bestehend aus Eltern, Nachkommen und anderen nah mit ihnen verwandten oder verbundenen Personen."
Familie,noun,broader,Klassifizierungskategorie nach bestimmten Kriterium|Kriterien oder Merkmalen,"Biologisches Taxon, eine Gruppe (verwandter) Arten, Teil einer Ordnung und bestehend aus einer oder mehreren Gattungen"
Musik,noun,broader,eine Kunstgattung,"Die künstlerische Anordnung von Klängen und Tönen, die Ideen und Emotionen durch die Elemente Rhythmus, Melodie, Harmonie und Klangfarbe ausdrückt."
Musik,noun,narrower,tonkünstlerisch komponiertes oder improvisiertes Werk,"Die künstlerische Anordnung von Klängen und Tönen, die Ideen und Emotionen durch die Elemente Rhythmus, Melodie, Harmonie und Klangfarbe ausdrückt."
Musik,noun,narrower,"aufgeführtes, hörbar gemachtes Musikstück","Die künstlerische Anordnung von Klängen und Tönen, die Ideen und Emotionen durch die Elemente Rhythmus, Melodie, Harmonie und Klangfarbe ausdrückt."
Kessel,noun,broader,großes metallisches offenes Gefäß,"Ein Metallgefäß, das zum Kochen von Wasser benutzt wird."
Kessel,noun,broader,großes metallisches offenes Gefäß,Ein Metallgefäß zum Kochen aller Arten von Flüssigkeiten.
Kessel,noun,broader,großes metallisches offenes Gefäß,"Ein sehr großer Topf, der zum Kochen benutzt wird."
Amerika,noun,narrower,"ein Doppelkontinent (der ehemals von der Namengebung her als ein Kontinent betrachtet wurde, wissenschaftlich wird in die Kontinente Nordamerika und Südamerika unterschieden)","Kontinent, der einen großen Teil des westlichen Erdteils einnimmt und sich vom Arktischen Ozean im Norden bis zum Kap Hoorn im Süden erstreckt, wo der Atlantik und der Pazifik zusammenfließen und den Kontinent nach Westen und Osten begrenzen."
Amerika,noun,broader,Vereinigte Staaten von Amerika,"Ein Staat in Nordamerika, der nördlich von Mexiko und südlich von Kanada liegt und zu dem außerdem Alaska, Hawaii und verschiedene überseeische Gebiete gehören."
Welle,noun,narrower,Erhebung von Wasser,Eine Störung in einem fluiden Medium.
Welle,noun,narrower,Erhebung von Wasser,"Störung, die sich durch Raum und Zeit ausbreitet"
Haus,noun,broader,zu einem bestimmten Zweck erbautes Gebäude,"Die Behausung eines Menschen, sein Wohnsitz."
Haus,noun,exact,zum Wohnen dienendes und genutztes Gebäude,"Die Behausung eines Menschen, sein Wohnsitz."
