lemma,pos,semantic_relationship,sense_source,sense_target
asian,adjective,narrower,from or relating to East and Southeast Asia,relating to Asia
asian,adjective,narrower,from or relating to South Asia,relating to Asia
bible,noun,related,the Bible,the Jewish Scriptures (the Old Testament).
bible,noun,narrower,a copy of the Bible,the Jewish Scriptures (the Old Testament).
english,noun,narrower,"the language spoken in the U.S., Canada, and Great Britain","the main language of England and the rest of Britain, North America, a great part of the British Commonwealth and some other countries"
indian,adjective,related,coming from or relating to India,of India or of Indians.
indian,noun,narrower,a person from India,a person born in India or having Indian citizenship.
yankee,noun,exact,sb from the northern U.S.,(used by Americans from the southern states of the USA) an American from the northern states.
able,adjective,narrower,intelligent and skilled,clever and skilful; capable
abrupt,adjective,exact,sudden and unexpected,sudden; unexpected
absolute,adjective,related,emphasizes how complete sth is,complete
absolute,adjective,related,emphasizes that sth is definite,definite and without any doubt
absolute,adjective,narrower,emphasizes a limit,used to add emphasis to what you are saying
accelerate,verb,narrower,to go faster in vehicle,to increase speed
accelerate,verb,related,to happen faster,to make (something) happen sooner
accept,verb,related,to agree to take,to take (something offered)
accept,verb,related,"to say ""yes"" to an offer",to take (something offered)
accept,verb,narrower,to admit sth is true or right,"to believe in, agree to or acknowledge"
accept,verb,related,to allow sb to become a member or part of,to make someone new feel welcome and part of a group
accident,noun,related,by accident,chance
accommodate,verb,related,to provide space or a home for,to find or be a place for
accompany,verb,exact,to go with,to go with (someone or something)
accompany,verb,narrower,accompanied by,"to happen, exist, or appear with something else"
acquire,verb,broader,to learn or develop,to learn
add,verb,exact,to say sth else,to say something extra
adjust,verb,broader,to change or move slightly,"to change (the position of, setting of)"
admit,verb,exact,to say sth is true,to say that one accepts as true
admit,verb,related,to say you did sth wrong,to say that one accepts as true
admit,verb,exact,to allow sb to enter,to allow to enter
advanced,adjective,related,newest and best,having made a lot of progress; at a high level
advanced,adjective,related,at the most difficult level,having made a lot of progress; at a high level
advanced,adjective,narrower,in a late stage of development,having made a lot of progress; at a high level
advantage,noun,narrower,sth that helps bring you success,(a) gain or benefit
advantage,noun,related,a good feature,(a) gain or benefit
advertise,verb,related,"to try to convince people to buy sth using television, magazines etc.",to make (something) known to the public by any of various methods
advertise,verb,broader,to announce publicly,to make (something) known to the public by any of various methods
affair,noun,narrower,a love relationship with sb who is not your partner,a love relationship
afraid,adjective,related,"scared, frightened",worried about something
afraid,adjective,exact,worried,worried about something
afraid,adjective,related,I'm afraid,sorry (to have to say that)
again,adverb,narrower,another time,once more or another time
against,preposition,exact,opposed to,in contrast to
against,preposition,exact,"touching, resting, or hitting upon",touching or in contact with
against,preposition,exact,in competition with,in opposition to
aggravate,verb,exact,to make worse,to make worse
aggravate,verb,related,"to annoy, to irritate",to make (someone) angry or impatient
agree,verb,related,to have the same opinion as,to say the same thing
agree,verb,related,"to say ""yes""",to say that one will do or allow something
agree,verb,narrower,to make a decision to do sth with sb,to say that one will do or allow something
ahead,adverb,related,in or toward the future,before someone or something in time
ahead,adverb,narrower,ahead of time/schedule,before someone or something in time
alcohol,noun,related,"drinks such as wine, beer, and liquor","liquid made by the fermentation or distillation of sugar, present in intoxicating drinks, used also as a fuel, and in thermometers"
alcohol,noun,narrower,"a substance in beer, wine, etc. that makes you drunk","liquid made by the fermentation or distillation of sugar, present in intoxicating drinks, used also as a fuel, and in thermometers"
allow,verb,related,to let sth happen or be done,not to forbid or prevent
allow,verb,narrower,to create an opportunity for sth to happen,not to forbid or prevent
allow,verb,narrower,to let sb have a particular amount or number,not to forbid or prevent
allowance,noun,related,money obtained without working,a fixed sum or quantity given regularly
allowance,noun,related,money for a special purpose,a fixed sum or quantity given regularly
already,adverb,narrower,indicates sth has happened before,before a particular time; previously
already,adverb,exact,emphasizes that sth happens sooner than expected,before the expected time
also,adverb,narrower,in addition,in addition or besides; too
also,adverb,narrower,indicates that what is true of one person or thing is true of another,in addition or besides; too
although,conjunction,exact,indicates sth that seems to contradict,in spite of the fact that
although,conjunction,related,but or however,in spite of the fact that
altogether,adverb,exact,considering everything,on the whole and considering everything
altogether,adverb,exact,emphasizes how completely sth is done,completely
always,adverb,exact,all the time,at all times
always,adverb,narrower,each time,continually or repeatedly
always,adverb,related,throughout the past or future,at all times
always,adverb,related,indicates annoyance at sth that happens frequently,continually or repeatedly
ambition,noun,broader,a desire to achieve,the desire eventually to become or do something special
among,preposition,related,within a particular group,in the middle of
among,preposition,narrower,in the middle of or between,in the middle of
amongst,preposition,narrower,in the middle of or between,in the middle of
amuse,verb,related,to cause sb to smile,to make (someone) laugh
amuse,verb,broader,to stop sb from being bored,to interest or give pleasure to (for a time)
and,conjunction,exact,also,in addition to
and,conjunction,exact,then,as a result of which
and,conjunction,related,plus,in addition to
animal,noun,exact,a non-human living creature,an animal other than man
animal,noun,related,living creatures including humans,a living being which can feel things and move freely
annual,adjective,related,each year,happening every year
annual,adjective,related,calculated over one year,of one year
anti-,prefix,exact,opposed to,against.
anti-,prefix,related,preventing or stopping sth,against.
anxiety,noun,related,worry that sth bad might happen,being very worried about something
anxious,adjective,related,worried sth bad might happen,worried about what may happen or have happened
apart,adverb,exact,separated by space or time,separated by a certain distance
apart,adverb,related,separated into pieces,separated by a certain distance
apostrophe,noun,narrower,a punctuation mark indicating possession,"a mark (') which is used to show that a letter or letters has/have been omitted from a word, and which is also used in possessive phrases and in the plurals of letters"
apostrophe,noun,narrower,a punctuation mark indicating a missing letter,"a mark (') which is used to show that a letter or letters has/have been omitted from a word, and which is also used in possessive phrases and in the plurals of letters"
apparent,adjective,exact,easy to notice or understand,easy to see; evident
apparent,adjective,exact,"seeming to be, though maybe not real",seeming but perhaps not real
appear,verb,broader,"to seem to be, or to look as if",to look or seem as if (something is the case)
appear,verb,exact,to become visible,to come into view
appear,verb,related,to come to a place,to come into view
appear,verb,related,to perform in public,to come into view
appetite,noun,broader,the need or desire to eat,a desire for food
applaud,verb,exact,to clap your hands in order to praise,"to praise or show approval, by clapping the hands"
approve,verb,related,to consider sb or sth good,to agree to (something)
approve,verb,narrower,to officially accept,to agree to (something)
apt,adjective,exact,seeming right or appropriate,suitable
aquarium,noun,narrower,a glass container for fish,"a glass tank, or a building containing tanks, for keeping fish and other water animals."
aquarium,noun,narrower,a building people visit to look at fish,"a glass tank, or a building containing tanks, for keeping fish and other water animals."
area,noun,broader,a part of a place or surface,the extent or size of a flat surface
area,noun,broader,"a field of knowledge, or a single part of a larger activity",a particular subject or activity
area,noun,related,an amount of space covered by sth,the extent or size of a flat surface
argue,verb,related,to disagree angrily,"to discuss, giving one's reasoning"
argue,verb,related,to give reasons to support an opinion,"to discuss, giving one's reasoning"
arm,noun,exact,the part of the body with the hand at the end,the part of the body between the shoulder and the hand
arm,noun,narrower,the side part of a chair,anything shaped like or similar to this
armed,adjective,broader,equipped with or using weapons,having a weapon or weapons
armed,adjective,related,armed with sth,having a weapon or weapons
arouse,verb,narrower,to stimulate feelings or thoughts,to cause or give rise to (something)
arouse,verb,narrower,to make sb sexually excited,to cause or give rise to (something)
arrange,verb,exact,to make a plan or to organize,to plan or make decisions (about future events)
arrange,verb,exact,to put in a position or order,to put in some sort of order
arrow,noun,exact,a weapon made from a stick with a sharp metal piece on the end,"a thin, straight stick with a point, which is fired from a bow."
art,noun,broader,"painting, drawing, sculpture, etc.",painting and sculpture
art,noun,related,the arts,any of various creative forms of expression
art,noun,narrower,an ability that needs skill,an ability or skill; the (best) way of doing something
article,noun,exact,"a piece of writing in newspaper, magazine, etc.",a piece of writing in a newspaper or magazine
article,noun,exact,an object,a thing or an object
artificial,adjective,narrower,not created in natural processes,made by man; not natural; not real
artist,noun,narrower,sb who paints or draws,a person who paints pictures or is a sculptor or is skilled at one of the other arts
