lemma,pos,sense_source,sense_target,semantic_relationship
verde,adjective,"por extensión, dicho de cualquier cosa, que aún está falta de desarrollo y preparación.",dicho de una cosa: que está en los principios y a la cual falta mucho para perfeccionarse.,related
verde,adjective,"en particular, dicho de una persona, que carece de experiencia en general, o en alguna actividad, disciplina o profesión.",dicho de una persona: inexperta y poco preparada.,exact
verde,adjective,"dicho de una expresión verbal u obra artística, que ofende las reglas morales comúnmente aceptadas, en especial en materia de sexualidad.","dicho de un cuento, de una comedia, de una poesía, etc.: libres, indecentes, obscenos.",related
verde,adjective,"por extensión de los anteriores, dicho de una persona, que manifiesta un apetito sexual normalmente juzgado impropio en alguien de su edad o condición.",dicho de una persona: que conserva inclinaciones galantes impropias de su edad o de su estado.,related
verde,adjective,"dicho de un espacio urbano, reservado para parques y jardines y no apto para edificar.",se dice del lugar destinado a parque o jardín y en el que no se puede edificar.,exact
verde,adjective,"dicho de un movimiento político, que defiende primariamente la conservación de la naturaleza y el equilibrio ecológico.",se dice de ciertos partidos ecologistas y de sus miembros.,related
verde,adjective,"del color percibido por el ojo humano de la luz con una longitud de onda entre 520 nanómetros y 570 nanómetros, el color del follaje vivo o las esmeraldas.","de color semejante al de la hierba fresca, la esmeralda, el cardenillo, etc. es el cuarto color del espectro solar.",related
verde,adjective,"dicho de una planta, que aún conserva la savia.","en contraposición a seco, se dice de los árboles y las plantas que aún conservan alguna savia.",broader
verde,adjective,"dicho de la leña, recién cortada, que por contener aún savia no es apta para arder.",dicho de la leña: recién cortada del árbol vivo.,exact
verde,adjective,"dicho de una legumbre, que se cosecha y consume sin secar previamente.","dicho de una legumbre: que se consume fresca, para diferenciarla de la que se guisa seca.",exact
verde,adjective,"dicho de un fruto, que aún no ha alcanzado su madurez.",que aún no está maduro.,exact
verde,adjective,forraje que se consume sin secar.,alcacer y demás hierbas que se siegan en verde y las consume el ganado sin dejarlas secar.,exact
verde,adjective,conjunto de hojas y otras partes verdes<sub>1</sub> de las plantas.,follaje conjunto de hojas de los árboles y de otras plantas.,exact
verde,adjective,billete de dólar estadounidense.,dólar unidad monetaria de los estados unidos.,broader
verde,noun,"por extensión, dicho de cualquier cosa, que aún está falta de desarrollo y preparación.",dicho de una cosa: que está en los principios y a la cual falta mucho para perfeccionarse.,related
verde,noun,"en particular, dicho de una persona, que carece de experiencia en general, o en alguna actividad, disciplina o profesión.",dicho de una persona: inexperta y poco preparada.,exact
verde,noun,"dicho de una expresión verbal u obra artística, que ofende las reglas morales comúnmente aceptadas, en especial en materia de sexualidad.","dicho de un cuento, de una comedia, de una poesía, etc.: libres, indecentes, obscenos.",related
verde,noun,"por extensión de los anteriores, dicho de una persona, que manifiesta un apetito sexual normalmente juzgado impropio en alguien de su edad o condición.",dicho de una persona: que conserva inclinaciones galantes impropias de su edad o de su estado.,related
verde,noun,"dicho de un espacio urbano, reservado para parques y jardines y no apto para edificar.",se dice del lugar destinado a parque o jardín y en el que no se puede edificar.,exact
verde,noun,"dicho de un movimiento político, que defiende primariamente la conservación de la naturaleza y el equilibrio ecológico.",se dice de ciertos partidos ecologistas y de sus miembros.,related
verde,noun,"del color percibido por el ojo humano de la luz con una longitud de onda entre 520 nanómetros y 570 nanómetros, el color del follaje vivo o las esmeraldas.","de color semejante al de la hierba fresca, la esmeralda, el cardenillo, etc. es el cuarto color del espectro solar.",related
verde,noun,"dicho de una planta, que aún conserva la savia.","en contraposición a seco, se dice de los árboles y las plantas que aún conservan alguna savia.",broader
verde,noun,"dicho de la leña, recién cortada, que por contener aún savia no es apta para arder.",dicho de la leña: recién cortada del árbol vivo.,exact
verde,noun,"dicho de una legumbre, que se cosecha y consume sin secar previamente.","dicho de una legumbre: que se consume fresca, para diferenciarla de la que se guisa seca.",exact
verde,noun,"dicho de un fruto, que aún no ha alcanzado su madurez.",que aún no está maduro.,exact
verde,noun,forraje que se consume sin secar.,alcacer y demás hierbas que se siegan en verde y las consume el ganado sin dejarlas secar.,exact
verde,noun,conjunto de hojas y otras partes verdes<sub>1</sub> de las plantas.,follaje conjunto de hojas de los árboles y de otras plantas.,exact
verde,noun,billete de dólar estadounidense.,dólar unidad monetaria de los estados unidos.,broader
lomo,noun,parte de la espalda debajo de los omóplatos y hasta el comienzo de las nalgas,parte inferior y central de la espalda.,exact
lomo,noun,"en los cuadrúpedos, zona equivalente, desde la cruz hasta la grupa","en los cuadrúpedos, todo el espinazo, desde la cruz hasta las ancas.",exact
lomo,noun,carne que se corta de esta zona para su consumo,cada una de las dos piezas de carne de cerdo o de vacuno que están junto al espinazo y bajo las costillas.,narrower
lomo,noun,parte de un códice por la que se unen las páginas mediante costura y pegado,"parte del libro opuesta al corte de las hojas, en la cual se pone el rótulo.",related
lomo,noun,montoncillo de tierra que queda a ambos lados del surco al pasar el arado,tierra que levanta el arado entre surco y surco.,exact
lomo,noun,"en las armas blancas de un solo filo, lado de la hoja opuesto a este","en los instrumentos cortantes, parte opuesta al filo.",broader
lomo,noun,"por extensión, saliente romo de cualquier objeto",parte saliente y más o menos roma de cualquier cosa.,exact
lomo,noun,"pequeña elevación, menor y menos abrupta que una colina",loma.,exact
lomo,noun,parte de la espalda debajo de los omóplatos y hasta el comienzo de las nalgas,espalda del cuerpo humano.,narrower
cuando,conjuction,en frases sin verbo indica la época de los hechos o lapsos de tiempo</i>.,"en frases sin verbo, adquiere función prepositiva.",narrower
cuando,conjuction,"se usa también para distribuir los miembros de una oración, y equivale a «algunas veces»</i>.",unas veces y otras veces.,related
cuando,conjuction,en caso que.,"en caso de que, si.",exact
cuando,conjuction,introduce una contradicción que no impide la realización de la acción</i>.,aunque.,related
cuando,conjuction,"introduce una oración explicativa, justificativa o probatoria de la idea expresada</i>.",puesto que.,related
cuando,conjuction,introduce una oración que indica el momento en que ocurre algo</i>.,"en el tiempo, en el punto, en la ocasión en que.",related
feliz,adjective,que siente felicidad.,que tiene felicidad. hombre feliz.,exact
feliz,adjective,que provoca o anuncia felicidad.,que causa felicidad.,exact
feliz,adjective,"dicho de un pensamiento o palabra, conveniente a la ocasión.","dicho de un pensamiento, de una frase o de una expresión: oportuno, acertado, eficaz.",exact
lejos,adverb,a gran distancia.,"a gran distancia, en lugar distante o remoto. está muy lejos de mi ánimo.",
cartón,noun,"material barato compuesto de varias hojas de papel superpuestas y prensadas, utilizado principalemente para embalaje","conjunto de varias hojas superpuestas de pasta de papel que, en estado húmedo, se adhieren unas a otras por compresión y se secan después por evaporación.",exact
cartón,noun,"material barato compuesto de varias hojas de papel superpuestas y prensadas, utilizado principalemente para embalaje","hoja de varios tamaños, hecha de pasta de trapo, papel viejo y otras materias.",broader
cartón,noun,"por extensión, bulto que contiene varias unidades de un producto embalado en cartón, para su distribución mayorista",envase de cartón que suele contener diez cajetillas de cigarrillos.,narrower
cartón,noun,formato de historieta criticando -las situaciones del cotidiano,"dibujo sobre papel o lienzo, a veces colorido, de una composición o figura, ejecutado en el mismo tamaño que ha de tener la obra de pintura, mosaico, tapicería o vidriería para la que servirá de modelo.",related
yacer,verb,estar en posición horizontal o supina,dicho de una persona: estar echada o tendida.,exact
yacer,verb,"por extensión, estar en algún sitio determinado",dicho de una persona o de una cosa: existir o estar real o figuradamente en algún lugar.,broader
yacer,verb,"eufemísticamente, tener relaciones sexuales",tener trato carnal con alguien.,related
yacer,verb,"dicho de un animal, pastar por la noche",dicho de una caballería: pacer de noche.,narrower
ceder,verb,cesar una resistencia.,"rendirse, someterse.",narrower
ceder,verb,"decaer la fuerza o vigor de una manifestación de la naturaleza (viento, fiebre).","dicho del viento, de la fiebre, etc.: mitigarse, disminuir su fuerza.",exact
ceder,verb,"disminuir la resistencia, dureza o elasticidad de un objeto.",dicho de una cosa: disminuir o cesar su resistencia.,exact
ceder,verb,soltarse o quebrarse algo.,dicho de algo sometido a una fuerza excesiva: romperse o soltarse.,narrower
ceder,verb,valer menos alguien o algo comparado con otra persona o cosa.,dicho de una persona o de una cosa: ser inferior a otra con la que se compara.,exact
ceder,verb,traspasar algo una cosa a otra.,"dar, transferir, traspasar a alguien una cosa, acción o derecho.",broadeer
ceder,verb,"perder una ventaja sobre la competencia, rival o enemigo.","perder tiempo, espacio, posición, etc., en favor de un rival.",exact
ceder,verb,"dicho del balón, traspasarlo a otro jugador del mismo equipo.","dicho de un jugador: pasar la pelota a otro de su equipo, cuando ambos están cerca.",exact
resentirse,verb,"perder o ver disminuidos la fuerza, tamaño o vitalidad de algo o de alguien.",empezar a flaquear debilitarse.,exact
resentirse,verb,"experimentar dolor, enojo, tristeza, ofensa o rencor; ver lastimados los sentimientos.","tener sentimiento, pesar o enojo por algo.",narrower
resentirse,verb,"dicho de la salud o de una parte del cuerpo: tener dolor, estar débil o estar lesionada o herida por algún accidente o enfermedad anteriores.","sentir dolor o molestia en alguna parte del cuerpo, a causa de alguna enfermedad o dolencia pasada.",exact
catalán,adjective,"originario, relativo a, o propio de cataluña.",natural de cataluña.,narrower
catalán,adjective,"originario, relativo a, o propio de cataluña.","perteneciente o relativo a este antiguo principado, hoy comunidad autónoma de españa.",narrower
catalán,adjective,"lengua romance del grupo ibérico, muy similar al occitano o provenzal, hablada en el norte de la costa mediterránea española, el rosellón en francia, andorra, el languedoc, así como en las islas baleares y la ciudad sarda de alguer. es lengua oficial en andorra y, con el español, en baleares, cataluña y la comunidad valenciana.",lengua romance vernácula que se habla en cataluña y en otros dominios de la antigua corona de aragón.,exact
catalán,noun,"originario, relativo a, o propio de cataluña.",natural de cataluña.,narrower
catalán,noun,"originario, relativo a, o propio de cataluña.","perteneciente o relativo a este antiguo principado, hoy comunidad autónoma de españa.",narrower
catalán,noun,"lengua romance del grupo ibérico, muy similar al occitano o provenzal, hablada en el norte de la costa mediterránea española, el rosellón en francia, andorra, el languedoc, así como en las islas baleares y la ciudad sarda de alguer. es lengua oficial en andorra y, con el español, en baleares, cataluña y la comunidad valenciana.",lengua romance vernácula que se habla en cataluña y en otros dominios de la antigua corona de aragón.,exact
