lemma,pos,sense_source,sense_target,semantic_relationship
kaal,noun,"see, kui raske miski või keegi on",mingi keha või aine raskus,exact
kaal,noun,"seade, millega saab mõõta, kui raske miski või keegi on",seade raskuse mõõtmiseks,exact
kaal,noun,"tähtsus, väärtus","tähtsus, väärtus",exact
kaart,noun,"maailma, riigi või linna vähendatud pilt, mille pealt saab vaadata mitmesuguseid objekte, näiteks teid, mägesid või jõgesid","maapinna vähendatud ja üldistatud tasapinnaline kujutis, mis näitab mitmesuguste objektide ja nähtuste paiknemist",exact
kaart,noun,postkaart,postkaart või e-kaart,exact
kaart,noun,"õhuke plastist ese, millega saab näiteks poes maksta või kuskilt väravast läbi minna","plastist või muust tugevamast materjalist ristkülikukujuline leheke, mis on hrl varustatud magnetriba või kiibiga (nt maksekaart, kliendikaart)",exact
kaart,noun,"tugevamast materjalist leht, mida on 52 tükki pakis ja millega saab mänge mängida",mängukaart,exact
kaasa,adverb,kellegagi koos (mingist tegevusest osa võttes),kellegagi või millegagi kokku,narrower
kaasa,adverb,"näitab, et sa kuhugi minnes võtad kellegi või millegi endaga",kellegagi või millegagi kokku,narrower
kaasa tegema,verb,"mingis ürituses, ettevõtmises osalema","milleski osalema, millestki osa võtma",broader
kaasa tooma,verb,"põhjustama, tagajärjena esile kutsuma","midagi põhjustama, tagajärjena esile kutsuma",exact
kaasaegne,adjective,"nüüdsele, praegusele ajale vastav","käesolevale ajale iseloomulik või kohane, (oma arengult) sellele vastav",exact
kaastunne,noun,kellegi teise halva olukorra või mure pärast kurbuse tundmine,"kellegi mure, leina vms jagamine, kellessegi raskuste, murede vms korral osavõtlikult suhtumine",exact
kabe,noun,"kahe inimese lauamäng, mida mängitakse lamedate nuppudega spetsiaalsel mustade ja valgete ruutudega alusel",kahe vastase lauamäng kabenditega tumedate ja heledate ruutudega nelinurksel laual,exact
kabinet,noun,tuba vastuvõtuks ja töötamiseks,asutuse juhi vastuvõtu- või töötuba,broader
kabinet,noun,tuba vastuvõtuks ja töötamiseks,"eriotstarbeline vastava sisseseadega ruum (või ruumid) õppeasutuses, polikliinikus või mujal",broader
kaduma,verb,"kui keegi või miski <b>kaob</b>, siis seda ei ole näha ja on raske üles leida","teadmata paika sattuma või minema, nii et on raske või võimatu üles leida",exact
kaduma,verb,"kui näiteks huvi, probleem või lootus <b>kaob</b>, siis seda enam ei ole","(vähehaaval) olemast lakkama, otsa saama",exact
kadunu,noun,surnu,surnud inimene,exact
kadunu,noun,"keegi, kelle asukoht pole teada",kadunud inimene (või loom),exact
kaebama,verb,oma murest või hädast kellelegi rääkima,"kellelegi millestki halvast, ebameeldivast, muret tekitavast või häirivast asjaolust muretsedes rääkima",exact
kaebama,verb,kellegi kohta midagi süüdistavat ütlema,"kellegi kohta midagi süüdistavat ütlema, süüteost (kõrgemale poole) teatama",exact
kaebus,noun,süüdistav avaldus,"milleski esinevatele puudustele ja eksimustele tähelepanu juhtiv, hrl süüdistav avaldus",exact
kaebus,noun,"see, mida keegi kaebab või kurdab","see, mida keegi kaebab või kurdab (nt tervisehäda, hingemuret)",exact
kaer,noun,"teatud teravili, millest tehakse näiteks jahu, putru ja küpsiseid",kahara õisikuga kõrreline rohttaim,exact
kaev,noun,"sügav auk maa sees, kust saab vett võtta",põhjaveeni ulatuv püstloodsete seinte või toruga veevõtuauk,exact
kaevama,verb,labidaga maasse auku tegema ja sel viisil mulda ümber pöörama,"labidaga, masinaga vm vahendiga auku, süvendit tegema",exact
kaheksa,numeral,8,põhiarv 8,exact
kaheksasada,numeral,800,põhiarv 800,exact
kahetsema,verb,"olema kurb millegi pärast, mida sa oled teinud või tegemata jätnud","millegi pärast tuska, rahulolematust või süüd tundma",exact
kahju,noun,majanduslik kaotus,"majanduslik kaotus, varanduse vähenemine või hävimine",exact
kahju,noun,miski halb,"häda tekitav, kahjustav nähtus või olukord, miski halb",exact
kahju,noun,kurb meel millegi pärast,"rahulolematus, nukker meel millegi pärast (viisakusväljendites tähendus vahel nõrgenenud)",exact
kahjuks,adverb,"kasuta siis, kui tahad osutada, et sul on kahju (3. tähendus)","märgib kahetsevat suhtumist, kahjutunnet mingi soovimatu, ebameeldiva, paratamatu asjaolu puhul",exact
kahtlane,adjective,"selline, et ei ärata usaldust","kahtlusi äratav, kahtlema või kahtlustama panev",broader
kahtlane,adjective,"selline, et ei ärata usaldust",(moraalses mõttes) halva kuulsusega või taunitav,broader
kahtlema,verb,"kui sa mingis asjas <b>kahtled</b>, siis sa ei ole kindel, et see asi on hea või õige","millegi tõepärasuses mitte veendunud olema, midagi küsitavaks pidama",exact
kahtlema,verb,"kui sa <b>kahtled</b> mitme variandi vahel valides, siis sa ei tea, millist otsust teha","kahevahel olema, mitte teadma, kuidas toimida või mida teha",exact
kahvel,noun,"ese, millega saab toitu suhu panna ja millel on otsas neli teravat haru",mitme terava haruga söögi- või serveerimisriist,exact
kaine,adjective,"selline, kes ei ole alkoholi joonud","mittejoobnud, mittepurjus",exact
kaine,adjective,praktilise mõtlemisega,"asjalikult mõtlev või toimiv, mõistusest, mitte tunnetest lähtuv",exact
kaitse,noun,kaitsmine,"millegi kindlustamine ohu, kahju vm vastu, kellegi või millegi kaitsmine millegi eest",exact
kaitse,noun,"kaitsev positsioon, näiteks sõjas või spordis","(spordis, lahingus vm:) kaitseseisund, mingit seisu kindlustav süsteem või positsioon (nt jalgpallis oma väravat kindlustav positsioon)",exact
kaitsja,noun,"inimene, kes midagi või kedagi kaitseb","inimene, kes kaitseb kedagi või midagi",exact
kaitsja,noun,"inimene, kes kaitseb kohtus isikut, kellele on esitatud süüdistus","kriminaalmenetluses kahtlustatava, süüdistatava ja kohtualuse huve kaitsev advokaat või vastava kvalifikatsiooniga isik",exact
