lemma,pos,sense_source,sense_target,semantic_relationship
adierazpen,noun,ikur edota zenbakien bidezko edozein forma matematiko,(Mat.) ikur edota zenbakien bidezko edozein forma matematiko,exact
adierazpen,noun,"nork bere barnean duena adieraztea, bereziki hizkuntzaren bidez","nork bere barnean duena adieraztea, bereziki, hizkuntzaren bidez",exact
adierazpen,noun,"deklaratu edo baieztatzen den mezua, jendarte edo gertaeren inguruko ahozko ala idatzizko komunikazioa",jendaurrean zerbait jakinaraziz egiten den hitzaldia edo izkribua,narrower
adierazpen,noun,norbaitek edo zerbaitek adierazteko sortzen duen gauza hautemangarria,jendaurrean zerbait jakinaraziz egiten den hitzaldia edo izkribua,narrower
adierazpen,noun,jendaurrean zerbait jakinaraziz egiten den izkribua,jendaurrean zerbait jakinaraziz egiten den hitzaldia edo izkribua,narrower
adin,noun,bizia banatzen den azken zatia edo adina: zahartzaroa,bizitza banatzen den zati bakoitza,narrower
adin,noun,bizitza banatzen den zati bakoitza,bizitza banatzen den zati bakoitza,exact
adin,noun,"norbaiti edo zerbaiti buruz, jaio edo eratu zenetik igaro den denbora","norbaiti edo zerbaiti buruz, jaio edo eratu zenetik igaro den denbora",exact
aginte,noun,"zenbait tresna edo aparatu martxan jartzeko eta kontrolatzeko bidea, gauza edo prozedura","zenbait tresna edo aparatu martxan jartzeko eta kontrolatzeko bidea, gauza edo prozedura",exact
aginte,noun,ofizial bakar baten ardurapeko lurraldea edo unitate militarra,"(Mil.) agindu dezaketenen multzoa, agintaritza",narrower
aginte,noun,"norbaitek, duen eskuaz baliaturik, egin behar dena esan edo adieraztea",agindua,narrower
aginte,noun,agintzeko boterea edo eskua duenaren posizioa,"(Mil.) agindu dezaketenen multzoa, agintaritza",broader
ahots,noun,abeslaria,hitz egin edo kantatzen duen pertsona,narrower
ahots,noun,"ahots-korden bitartez ekoizten den soinua, ahotsa",laringeko kordak dardaratzen direnean sortzen den soinua. Hizketa eta kantuaren oinarri fisikoa da,exact
ahots,noun,musika polifonikoan ahots edo instrumentu jakin batek daukan melodia,"(Mus.) konposizio batean, kantari edo instrumentistek interpretatzen dituzten nota-segidetako bakoitza",exact
ahots,noun,pertsona baten berbaldiko ezaugarri edota doinu bereizgarria,laringeko kordak dardaratzen direnean sortzen den soinua. Hizketa eta kantuaren oinarri fisikoa da,related
aita,noun,ume bat edo gehiago sortarazi dituen animalia arra,"ume bat edo gehiago sorrarazitako gizon edo animalia arra, bereziki haiekiko",narrower
aita,noun,hainbat apaiz eta bereziki elizgizoni ematen zaien titulua,hainbat apaiz eta erlijiosori ematen zaion trataera,exact
aita,noun,leinu baten fundatzaile edo burua den gizona,"ume bat edo gehiago sorrarazitako gizon edo animalia arra, bereziki haiekiko",narrower
aita,noun,seme edo alaba bat edo gehiago sortarazi dituen gizona,"ume bat edo gehiago sorrarazitako gizon edo animalia arra, bereziki haiekiko",narrower
andere,noun,emakumeei zenbaitetan ematen zaien trataera formala,andrea; jaunaren emaztea,narrower
andere,noun,ezkondurik dagoen emakumea bere ezkontidearekiko,emakume ezkonduekiko trataera,exact
andre,noun,emakumeei zenbaitetan ematen zaien trataera formala,"emakumea, bereziki ezkondua",related
andre,noun,emakume zaharra tratatzeko modua,"emakumea, bereziki ezkondua",narrower
andre,noun,santei zenbaitetan ematen zaien trataera,santei zenbaitetan ematen zaien trataera,exact
andre,noun,ezkondurik dagoen emakumea bere ezkontidearekiko,emaztea,exact
andre,noun,pertsona eme heldua (gizonezkoaren aurkako gisa),"emakumea, bereziki ezkondua",narrower
aparatu,noun,funtzio berbera betetzen duten edo prozesu organiko jakin batean elementu osagarri diren organoen multzoa,(Anat.) funtzio bera betetzeak elkartzen dituen organo-multzoa,exact
