lemma,sense_source,sense_target,semantic_relationship,pos
alighogy," 〈vmely cselekvés, történés stb. csekély mértékének, gyengeségének kif-ére〉"," <Vmely kívánatos állapot, tulajdonság nagyon kis mértékére, vmely cselekvés végrehajtásának alig lehetséges voltára, végbemenésének nehézségeire utalva:> éppen csak, éppen (csak) hogy, nagy nehezen, de azért …",narrower,adverb
alighogy," 〈vmely dolog, cselekvés stb. nehéz, szinte lehetetlen voltának kif-ére:〉 épphogy, éppen csak hogy"," <Vmely kívánatos állapot, tulajdonság nagyon kis mértékére, vmely cselekvés végrehajtásának alig lehetséges voltára, végbemenésének nehézségeire utalva:> éppen csak, éppen (csak) hogy, nagy nehezen, de azért …",exact,adverb
alighogy," 〈vmely esemény, cselekvés, történés ritka voltának kif-ére〉"," <Annak érzékeltetésére, hogy a vele kapcsolt mellékmondatban foglaltak után vmi nem várt, meglepő, szokatlan cselekvés, történés, állapot következik be; a következő mondatot rendsz. s kötőszó vezeti be.>",related,adverb
alighogy," 〈annak kif-ére, hogy vmi a jelölt csekélynek tartott mennyiséget, mértéket éppen hogy csak eléri, hogy nagyjából annyi〉"," A szóban forgó mennyiséget, számot kevés híján elérve",exact,particle
alighogy," mihelyt,  amint ","  <Annak kifejezésére, hogy a vele kapcsolt mondatban foglalt cselekvés, történés, állapot még jóformán be sem fejeződött, mikor a másik mondatbeli megkezdődik; a főmondatban gyak. máris, azonnal, rögtön határozószó nyomósítja a két mondat cselekvésének érintkezését:> mihelyt, amint",narrower,conjunction
alkonyodik, fokozatosan leszáll az esti szürkület," Fokozatosan beáll az esti szürkület, az alkony; az esti homály terjed; alkonyul",exact,verb
alkonyodik," vége felé közeledik, elmúlóban, letűnőben, ill. hanyatlóban van vmi"," Elmúlóban, letűnőben van; vége felé jár",exact,verb
bakfitty, csoportos bakugrás mint (gyermek)játék," Nekifutással végzett bakugrásos gyermekjáték: a játszók egyik része bakhátat (1) csinál, a másik szétterpesztett lábbal átugrik rajta, aztán szerepet cserélnek",exact,noun
bakfitty," 〈fölényeskedő lekicsinylés kif-ére:〉 jelentéktelen, említésre sem méltó dolog"," <Felháborodás, lekicsinylés kifejezésére.>",exact,noun
bár_1, 〈nagyobb intézmény részeként is:〉 zenés(-táncos) éjszakai szórakozóhely," Éjjeli, rendsz. táncos mulatóhely; berendezésében jellegzetes a kiszolgálásra való magas pult és előtte támla nélküli magas székek",narrower,noun
bár_1," 〈nagyobb intézmény részeként is:〉 rendsz. hosszú, keskeny pulttal és előtte magas, támla nélküli székekkel berendezett, italokat és egyszerűbb ételeket kínáló büfé, bisztró"," Éjjeli, rendsz. táncos mulatóhely; berendezésében jellegzetes a kiszolgálásra való magas pult és előtte támla nélküli magas székek",broader,noun
biztos_1," ténynek, valóságnak vehető, kétségtelennek tartható v. hitelt érdemlő 〈dolog〉, ill. ilyen dolog által igazolt, megalapozott v. arra épülő, abból származó"," Olyan, amihez kétség nem fér, ami valóságnak, ténynek vehető",exact,adjective
biztos_1," olyan 〈személy〉, aki meggyőződött vmiről, aki kétségtelennek, bizonyosnak v. nagyon valószínűnek tart vmit, ill. ilyen személyre jellemző 〈magatartás, érzés, meggyőződés stb.〉"," Olyan, amit nem v. csak nehezen lehet megingatni, megzavarni v. benne változást előidézni.",broader,adjective
biztos_1, egyértelmű(en meghatározott)," Kétségtelen, nyilvánvaló",exact,adjective
biztos_1," olyan 〈hely, idő, eszköz, módszer stb.〉, amely vmilyen eredményt, vminek a bekövetkeztét kétségtelenné v. valószínűvé teszi"," Bizonyára, biztosan, bizonyosan",related,adjective
biztos_1," olyan 〈személy〉, aki minden kétséget kizáróan v. nagy valószínűséggel elér, teljesít v. megtesz vmit"," Olyan <személy>, aki ritkán követ el hibát vmiben, aki nem könnyen téved",related,adjective
biztos_1," szilárd, masszív, stabil 〈felület, alapozás stb.〉, ill. így rögzített v. így álló 〈dolog〉"," Olyan, amit nem v. csak nehezen lehet megingatni, megzavarni v. benne változást előidézni.",related,adjective
biztos_1," szilárd alapokon nyugvó, nehezen megingatható v. megzavarható, ill. állandó(ságot mutató)〈dolog, jelenség〉"," Olyan, amit nem v. csak nehezen lehet megingatni, megzavarni v. benne változást előidézni.",exact,adjective
biztos_1," határozott(ságról), magabiztos(ságról tanúskodó) 〈mozgás, megnyilvánulás stb.〉"," Biztos vmiben, vmiről, vmi felől: a) tudja, mit akar",related,adjective
biztos_1," biztonságot nyújtó, veszélytől, bajtól védett 〈kül. hely〉, ill. olyan 〈helyzet, időszak, alkalom, tevékenység stb.〉, amellyel kapcsolatban veszélytől, bajtól v. zavartól, eredménytelenségtől nem kell félni", Biztonságos,broader,adjective
biztos_1," veszélyt, bajt, kárt kizáró, vminek a biztonságát szolgáló 〈dolog, tevékenység, állapot〉"," Olyan, ami veszélytől védett, ami biztonságot nyújt",related,adjective
biztos_1," megbízható, vkinek a bizalmára érdemes, ill. vkihez bizalmas 〈személy〉, ill. ilyen személyekből álló 〈csoport〉"," Olyan, akiben, amiben feltétlenül bízhatunk; megbízható",exact,adjective
biztos_1," megalapozott, szilárd, ténynek vehető dolog, ill. kétségtelenül, bizonyosan bekövetkező történés, jelenség"," Olyan dolog, olyasmi, amelyben, amelynek valóságában, bekövetkezésében feltétlenül bízhatunk.",exact,noun
celluloid," cellulózból és kámforból előállított, nagy szakítószilárdságú, átlátszó, jól színezhető, víznek és olajoknak ellenálló, gyúlékony műanyag"," Kámfornak nitrocellulózban való szilárd oldata; rugalmas, alakítható, áttetsző, gyúlékony műanyag.",exact,noun
celluloid, ilyen anyagból készült filmszalag," Ebből való, ebből készült <eszköz, tárgy>",narrower,noun
celluloid, ebből az anyagból készült 〈tárgy〉," Ebből való, ebből készült <eszköz, tárgy>",exact,adjective
