lemma,pos,sense_source,sense_target,semantic_relationship
imprudenza,noun,"modo di agire avventato, che non tiene conto dei rischi",qualità di chi è imprudente,exact
imprudenza,noun,atto o detto sventato e irresponsabile,azione imprudente,exact
autoparco,noun,insieme di automezzi addetti a un servizio o a un ente,insieme degli autoveicoli a disposizione di un singolo individuo o di un ente o società,exact
imbrogliare,verb,"far credere ciò che non è a qlcu. così da ottenere, con suo danno, un vantaggio personale; ingannare.",far credere cose non vere a qualcuno; ingannare,exact
imbrogliare,verb,"mettere in disordine, intricare un insieme di cose in modo da alterarne la normale disposizione.",mescolare disordinatamente un insieme di cose,exact
imbrogliare,verb,"(fig.) confondere, imbrogliare, imbrogliare le carte.",mescolare disordinatamente un insieme di cose,related
imbrogliare,verb,"render difficile, intricare, imbrogliare.",creare difficoltà in qualcosa,exact
imbrogliare,verb,far perdere a qlcu. il filo del ragionamento.,creare difficoltà in qualcosa,narrower
imbrogliare,verb,fare di tutto per ottenere qualcosa.,far credere cose non vere a qualcuno; ingannare,related
indiscrezione,noun,l'essere indiscreto.,mancanza di tatto e di senso della convenienza nel rapporto con gli altri,exact
indiscrezione,noun,atto o detto indiscreto,"notizia, specie giornalistica, rivelata nonostante la sua segretezza",broader
indiscretezza,noun,l'essere indiscreto.,indiscrezione,narrower
indiscretezza,noun,atto o detto indiscreto,indiscrezione,narrower
virtù,noun,eccellenza morale,"qualita' positiva, pregio, dote",narrower
virtù,noun,"efficacia, forza (""la virtù terapeutica di questo farmaco""); l'essere efficace.","qualita' positiva, pregio, dote",narrower
virtù,noun,castità,"qualita' positiva, pregio, dote",narrower
virtù,noun,qualità positiva,"qualita' positiva, pregio, dote",exact
osservatorio,noun,luogo munito di strumenti adatti per osservare eventi naturali o per il controllo militare,"luogo munito di strumenti adatti, da cui si può osservare",narrower
osservatorio,noun,istituzione preposta all'analisi di fenomeni sociali o economici,istituzione che si occupa dell'analisi di problemi socio-economici,exact
pettinare,verb,"ravviare i capelli, dando loro una certa piega.",acconciare i capelli,exact
pettinare,verb,sottoporre a pettinatura una fibra tessile.,acconciare i capelli,related
velare,verb,rendere oscuro (fig.),coprire con un velo per nascondere,related
velare,verb,coprire con un velo,coprire con un velo per nascondere,exact
embrione,noun,essere vivente allo stadio di sviluppo iniziale.,organismo vivente nella prima fase di sviluppo,exact
embrione,noun,stadio di sviluppo per il quale si passa dall'uovo alla forma definitiva dell'organismo animale.        ,organismo vivente nella prima fase di sviluppo,related
divenire,verb,"cambiare stato, caratteristiche e sim., passare, spec. progressivamente, da una condizione a un'altra.",diventare; passare da una condizione ad un'altra,exact
ammontare,verb,raggiungere una determinata cifra totale.,raggiungere una certa somma,exact
enterite,noun,infiammazione della mucosa intestinale.,infiammazione della mucosa intestinale,exact
suora,noun,donna che ha preso i voti,religiosa che ha pronunciato i voti,exact
vivere,verb,"essere in vita, detto di esseri animati.",essere in vita,exact
vivere,verb,"passare, vivere.",provare,related
vivere,verb,"vivere in un determinato luogo, avere lì la propria abitazione.","trascorrere l'esistenza, in relazione al tempo, al luogo, al modo e alle condizioni della stessa",narrower
vivere,verb,"detto dell'uomo, trascorrere la vita, in relazione al tempo, al luogo, al modo della stessa.","trascorrere l'esistenza, in relazione al tempo, al luogo, al modo e alle condizioni della stessa",exact
vivere,verb,trascorrere.,provare,related
affitto,noun,corrispettivo di un canone pagato per la cessione temporanea di un bene immobile ,prezzo concordato per un bene preso in affitto,exact
affitto,noun,locazione; il cedere l'uso di un bene per un periodo di tempo in cambio di denaro,contratto con cui si cede un bene temporaneamente in cambio di denaro,exact
spirale,noun,linea spirale,curva piana che si avvolge infinite volte intorno a un punto allontanandosene progressivamente,exact
spirale,noun,contraccettivo intrauterino,dispositivo anticoncezionale,exact
spirale,noun,qualunque oggetto o struttura a forma di spirale,oggetto a forma di spirale,exact
bacchettone,noun,religioso in modo ipocrita ed esagerato,chi si dedica a pratiche religiose con zelo esagerato,exact
calcare,verb,pestare i piedi ripetutamente camminando.,"premere, pigiare",narrower
calcare,verb,riprodurre fedelmente un'immagine.,copiare un disegno passando con una punta sui contorni,broader
calcare,verb,premere con i piedi con forza.,"premere, pigiare",narrower
monaca,noun,donna che ha preso i voti,religiosa di un ordine regolare,exact
interpretare,verb,sostenere un certo ruolo in un'opera teatrale o cinematografica.,recitare una parte come attore teatrale o cinematografico,exact
