lemma,pos,sense_source,sense_target,semantic_relationship
aap,noun,"1/|\Eigenlijk. Vierhandig zoogdier, zoowel in inwendig samenstel als in uitwendig voorkomen het meest den mensch nabijkomende; Simia.","zoogdier uit de orde der primaten, dat voorkomt in verschillende soorten met sterk uiteenlopende uiterlijke kenmerken, dat zich meestal ophoudt in warmere gebieden, bij voorkeur in boomrijke streken, en dat van alle diersoorten genetisch het nauwst verwant is aan de mens",exact
aap,noun,"2.c/|\Scheepsterm. Verouderde benaming van het Stormbezaanstagzeil, ook Stormaap geheeten. Zie op die beide woorden.",vierkant of driehoekig zeil dat op een zeilschip bovenaan in een mast boven de andere zeilen wordt aangebracht bij minder sterke wind,exact
aap,noun,"1/|\De apen, waartoe ook de Meerkatten behooren, vormen met de halfapen (en den mensch) de eerste orde der Zoogdieren.",diersoort die [i]aap[/i] wordt genoemd; diersoort der apen,exact
aap,noun,1/|\Ten onrechte is aap als scheldnaam onder de eigenlijke bet. ingedeeld: het is een fig. toepassing; met betrekking tot kinderen niet als plat te beschouwen.,kind dat zich nog wild en onbeheerst gedraagt en nog beschaving moet leren,exact
abnormaal,adjective,"A/|\Bnw. Van den regel —, van het gewoonlijk voorkomende afwijkend.","afwijkend van de norm, de regel of het gewone; afwijkend van het normale",exact
abnormaal,adjective,B/|\Bijw. In afwijkende mate.,"afwijkend van de norm, de regel of het gewone; afwijkend van het normale",exact
weggaan,verb,"1/|\Zich verwijderen, heengaan van een bep. plaats, uit het gezelschap van een of meer personen; vertrekken. Soms met een bep. van herkomst, ingeleid door van.",zich verwijderen van de plaats waar men zich bevindt; de plaats waar men zich bevindt verlaten,exact
weggaan,verb,"2/|\Definitief, voorgoed de plaats waar men verblijft, woont of werkt, de menschen bij wie men verkeert, verlaten om zich elders te vestigen; vertrekken. Soms met een bep. ingeleid door van.","een partner, een werkmilieu, een gebied e.d. definitief verlaten",exact
weggaan,verb,"3/|\Ophouden te bestaan, er te zijn; verdwijnen.",ophouden te bestaan; verdwijnen,exact
weggaan,verb,"4/|\(In aansl. bij de bet. 1, b) Van roerende en vervolgens ook van onroerende goederen: verkocht worden.",verkocht worden,exact
