lemma,pos,sense_source,sense_target,semantic_relationship
banco,noun,"Assento estreito e comprido, de material variável, com ou sem encosto, para várias pessoas. ","Assento, geralmente tosco, de ferro, madeira ou pedra, e de formas variadas.",related
banco,noun,"Assento para uma pessoa, sem encosto, de tampo redondo ou quadrado, sustentado por três ou quatro pés. ≈ mocho. ","Assento, geralmente tosco, de ferro, madeira ou pedra, e de formas variadas.",related
banco,noun,"Assento comprido e largo, com encosto alto, de tampo amovível, que pode servir também de tampa de uma arca. ≈ arquibanco, escabelo, escano. ",Escabelo.,exact
banco,noun,"Prancha comprida, sustentada por quatro pés, ou mesa de trabalho onde se fixam as peças em que se trabalha, especialmente em marcenaria, carpintaria e serralharia. ≈ bancada. ","Mesa estreita e oblonga, sobre que trabalham certos artífices.",exact
banco,noun,"Elevação do fundo do mar ou dum rio por acumulação de areias, de rochas, de detritos e que pode aflorar à superfície durante a maré baixa. ≈ baixio, baixo. ",Baixio.,exact
banco,noun,"Geol. Camada ou estrato de aglomeração de detritos de rocha, de conchas fósseis ou de matérias sólidas. ","Camada de pedra, numa pedreira.",related
banco,noun,"Estabelecimento particular ou estatal, cuja actividade se centra no depósito e empréstimo de valores, transacções de fundos...","Estabelecimento de crédito, para transacções de fundos públicos ou particulares",exact
banco,noun,Edifício onde funciona esse estabelecimento.,"Edifício, onde se realizam essas transacções",exact
banco,noun,"banco de urgências ou banco, departamento hospitalar, destinado ao atendimento permanente de doentes externos necessitados de tratamentos de urgência.","Compartimento hospitalar, onde se recebem os consulentes externos: o ferido foi curar-se ao banco do hospital.",exact
bandarilha,noun,"Haste munida de ponta de metal penetrante, enfeitada com uma bandeira ou com fitas de papel de cores e que se espeta no cachaço dos touros, durante a corrida. ≈ farpa, ferro.","Farpa, enfeitada com bandeiras ou fitas, e destinada a cravar-se no cachaço dos toiros, quando se correm.",exact
café,noun,"Semente do cafeeiro, amarga, oleosa, de cor vermelha, que, depois de torrada e moída, toma uma coloração castanha escura e serve para a preparação de uma bebida com o mesmo nome.",Semente de cafezeiro.,exact
café,noun,Bot. O m. que cafeeiro1.,Cafeeiro.,exact
café,noun,Bebida que se obtém a partir da infusão das sementes de cafeeiro torradas e moídas.,"Infusão dessa semente, depois de torrada e moída.",exact
café,noun,Estabelecimento comercial onde se toma café e outras bebidas.,"Estabelecimento, em que se toma café e outras bebidas; botequim.",exact
computador,noun,"Aquele que faz cômputos, que calcula; o que computou. ","Aquele que faz cômputos, que calcula.",exact
dicionário,noun,"Livro de referência em que se fornecem informações, como a categoria gramatical, as acepções, os registos, a forma correspondente noutro idioma..., sobre palavras e expressões de uma língua, apresentando-as de acordo com uma ordem convencional, geralmente alfabética.","Colecção alfabetada dos vocábulos de uma língua, ou dos termos próprios de uma ciência ou arte, com a significação deles, ou com a sua tradução em outra língua.",exact
lexicografia,noun,"Ling. Ramo da linguística que se ocupa dos aspectos teóricos e práticos que têm em vista a elaboração de dicionários, vocabulários, glossários.","Ciência ou estudo, que tem por objecto as palavras que devem constituir um léxico.",exact
mililitro,noun,Unidade de medida de capacidade (símb. ml) equivalente à milésima parte do litro.,A milésima parte do litro.,exact
sorridente,adjective,"Que é alegre, amável; que sorri. ≈  prazenteiro, risonho.",Que sorri; prazenteiro; alegre; amável.,exact
sorridente,adjective,"Que revela alegria, boa disposição, contentamento.",Que sorri; prazenteiro; alegre; amável.,related
tripeiro,noun,O m. que portuense1.,Deprec. Habitante do Porto.,exact
tripeiro,noun,Pessoa que vende tripas.,Vendedor de tripas.,exact
tripeiro,noun,Pop. O m. que portuense2.,Deprec. Habitante do Porto.,exact
especial,adjective,Que é relativo a uma espécie.,Relativo a uma espécie.,exact
especial,adjective,"Que tem, dadas as características, uma finalidade ou um uso particulares. ≈ adequado, específico, próprio. ≠ geral.",Peculiar.,narrower
especial,adjective,"Que é próprio de alguém ou de alguma coisa. ≈ característico, pessoal, típico.",Peculiar.,narrower
especial,adjective,"Que se aplica exclusivamente a alguém ou a alguma coisa. ≈ exclusivo, particular, privado.",Exclusivo.,narrower
especial,adjective,"Que constitui excepção. ≈ exclusivo, extraordinário.",Exclusivo.,narrower
especial,adjective,"Que é de óptima qualidade. ≈ distinto, excelente, notável.","Superior, distinto.",exact
especialidade ,noun,"Matéria ou assunto circunscrito a determinados pontos, artigos... ≠ generalidade.",Qualidade daquilo que é especial.,narrower
