lemma,pos,gender,meta_ID,sense_source,sense_target,semantic_relationship
малявка,noun,,,Очень маленькая рыбка.,"То же, что малек.",broader
малявка,noun,,,О человекемаленького роста или о ребенке.,О ребенке или человеке маленького роста.,exact
бзик,noun,,,"Странность, причуда.","Странность, причуда.",exact
максимальный,adjective,,,"Наибольший в ряду других, предельный.","Самый большой, наибольший в ряду других, предельный.",exact
прятать,verb,,,"Убирать, помещать вскрытое, неизвестное другим место или под запор; вообще убирать в надежное, место для сохранности.","Помещать в тайное место, укрытие, чтобы другие не могли найти, заметить.",broader
прятать,verb,,,"Убирать, помещать вскрытое, неизвестное другим место или под запор; вообще убирать в надежное, место для сохранности.","Помещать, класть куда-л. для сохранности, предохранения от чего-л.",broader
религия,noun,,,"Одна из форм общественного сознания – совокупность духовных представлений, основывающихся на вере в сверхъестественные силы и существа (богов, духов), к-рые являются предметом поклонения.","Мировоззрение, несовместимое с научным миропониманием, основанное на вере в существование бога, сверхъестественных сил, управляющих миром.",exact
религия,noun,,,"Одно из направлений такого общественного сознания. Мировые религии (буддизм, ислам, христианство).",Та или иная вера; вероисповедание.,exact
религия,noun,,,"Сложившиеся непоколебимые убеждения, безусловная преданность какой-н. идее, принципу, нравственному закону, ценности.","То, чему поклоняются, во что слепо верят.",related
щи,noun,,,"Жидкое кушанье, род супа из капусты или щавеля, шпината.","Жидкое кушанье из рубленой капусты, а также из щавеля, шпината и т. п.",exact
завтра,adverb,,,На следующий день после сегодняшнего.,На следующий день после сегодняшнего.,exact
завтра,adverb,,,В недалеком будущем.," В недалеком будущем, скоро.",exact
фаянс,noun,,,"Мелкопористый, обычно белый керамический материал, по составу напоминающий фарфор.","Искусственно приготовляемая минеральная масса из особых сортов глины с примесью гипса и других веществ, идущая на керамические изделия.",exact
фаянс,noun,,,"Изделия, посуда из такого материала.","Изделия из такой массы, обожженные и докрытые глазурью.",exact
ряса,noun,,,У православного духовенства: верхняя длинная одежда с широкими рукавами.,Верхняя длинная одежда в талию с широкими рукавами у православного духовенства.,exact
разлить,verb,,,Налить из большого сосуда в меньшие.,Перелить какую-л. жидкость из одного сосуда в несколько других.,narrower
разлить,verb,,,Расплескать по поверхности чего-н.,"Расплескать, пролить какую-л. жидкость.",exact
разлить,verb,,,"Распространить во все стороны, по всему пространству чего-н.","Распространить во все стороны, по всему пространству чего-л., в пределах чего-л.",exact
хват,noun,,,"Бойкий, полный молодечества человек.","Бойкий, ловкий, удалой человек.",exact
хват,noun,,,"То же, что ловкач.","Бойкий, ловкий, удалой человек.",related
увал,noun,,,Узкая и удлиненная возвышенность с пологими склонами и плоской вершиной.,Вытянутая в длину возвышенность с пологими склонами.,exact
йога,noun,,,"В Индии: религиозно-философское учение, разработавшее особую систему приемов и методов самопознания, позволяющего человеку управлять психическими и физиологическими функциями своего организма.","Учение о приемах и методах управления психикой и психофизиологией человека, лежащее в основе древнеиндийских религиозно-философских систем.",exact
разве,conjunction,,,"Выражает допущение, возможность.","Употребляется в сочетании со словами „только“, „лишь“, „кроме“ и т. п. и без них для выражения ограничения с оттенком уступительности, в значении:не считая того, что…;кроме того, что…;может быть, только…",exact
разве,conjunction,,,"В случае, если не, если только не.","Употребляется для выражения противопоставления с оттенком условности, в значении:если не…;если только не…",exact
погожий,adjective,,,"Хороший, благоприятный в отношении погоды.","Хороший, благоприятный в отношении погоды.",exact
